Time,Voltage,FanPower,IronPower,TotalPower,FanStatus,IronStatus,DSM
18:00,0.00,0.0,0.0,0.0,0,0,0
18:01,0.00,0.0,0.0,0.0,0,0,0
18:02,0.00,0.0,0.0,0.0,0,0,0
18:03,0.00,0.0,0.0,0.0,0,0,0
18:04,0.00,0.0,0.0,0.0,0,0,0
18:05,0.00,0.0,0.0,0.0,0,0,0
18:06,216.33,9.0,0.0,9.0,1,0,0
18:07,216.31,8.9,0.0,8.9,1,0,0
18:08,215.26,8.8,0.0,8.8,1,0,0
18:09,215.44,8.8,0.0,8.8,1,0,0
18:10,215.38,8.8,0.0,8.8,1,0,0
18:11,215.37,8.9,0.0,8.9,1,0,0
18:12,217.21,9.0,0.0,9.0,1,0,0
18:13,216.69,8.9,0.0,8.9,1,0,0
18:14,216.02,8.8,0.0,8.8,1,0,0
18:15,216.35,8.9,0.0,8.9,1,0,0
18:16,216.20,9.0,98.9,107.9,1,1,0
18:17,214.54,9.0,0.0,9.0,1,0,1
18:18,214.82,8.8,0.0,8.8,1,0,1
18:19,214.07,8.9,0.0,8.9,1,0,1
18:20,214.19,8.8,0.0,8.8,1,0,1
18:21,214.20,8.8,0.0,8.8,1,0,1
18:22,214.26,8.8,0.0,8.8,1,0,1
18:23,213.85,8.9,0.0,8.9,1,0,1
18:24,214.48,8.8,0.0,8.8,1,0,1
18:25,214.17,8.8,0.0,8.8,1,0,1
18:26,215.53,8.9,0.0,8.9,1,0,1
18:27,214.00,8.7,0.0,8.7,1,0,1
18:28,214.37,8.9,0.0,8.9,1,0,1
18:29,214.15,8.7,0.0,8.7,1,0,1
18:30,214.57,8.8,0.0,8.8,1,0,1
18:31,215.36,8.9,0.0,8.9,1,0,1
18:32,215.76,9.0,0.0,9.0,1,0,1
18:33,214.47,8.8,0.0,8.8,1,0,1
18:34,215.24,8.8,0.0,8.8,1,0,1
18:35,214.07,8.8,0.0,8.8,1,0,1
18:36,215.25,8.8,0.0,8.8,1,0,1
18:37,213.85,8.7,0.0,8.7,1,0,1
18:38,214.32,8.7,0.0,8.7,1,0,1
18:39,215.36,8.9,0.0,8.9,1,0,1
18:40,215.44,8.9,0.0,8.9,1,0,1
18:41,213.89,8.8,0.0,8.8,1,0,1
18:42,215.61,8.9,0.0,8.9,1,0,1
18:43,214.45,8.9,0.0,8.9,1,0,1
18:44,214.83,8.8,0.0,8.8,1,0,1
18:45,214.44,8.8,0.0,8.8,1,0,1
18:46,214.46,8.8,0.0,8.8,1,0,1
18:47,215.04,8.9,0.0,8.9,1,0,1
18:48,213.77,8.9,0.0,8.9,1,0,1
18:49,219.05,9.0,100.1,109.1,1,1,0
18:50,219.24,9.0,101.8,110.8,1,1,0
18:51,219.63,9.2,100.2,109.4,1,1,0
18:52,218.74,9.0,100.4,109.5,1,1,0
18:53,219.13,9.1,99.9,109.0,1,1,0
18:54,219.10,9.1,100.0,109.1,1,1,0
18:55,219.15,9.0,101.4,110.4,1,1,0
18:56,219.16,9.0,101.3,110.3,1,1,0
18:57,219.28,9.1,100.0,109.1,1,1,0
18:58,219.08,9.0,101.3,110.3,1,1,0
18:59,218.52,9.1,99.6,108.6,1,1,0
19:00,219.66,9.1,101.5,110.7,1,1,0
19:01,214.14,8.8,0.0,8.8,1,0,0
19:02,214.02,8.7,0.0,8.7,1,0,0
19:03,214.45,8.9,0.0,8.9,1,0,0
19:04,214.93,8.8,0.0,8.8,1,0,0
19:05,215.10,8.8,0.0,8.8,1,0,0
19:06,214.99,8.9,0.0,8.9,1,0,0
19:07,0.00,0.0,0.0,0.0,0,0,0
19:08,0.00,0.0,0.0,0.0,0,0,0
19:09,0.00,0.0,0.0,0.0,0,0,0